"area","are_km2","endID","mean_m","min_m","max_m","range_m"
9214796.4,9.2,"H0446",1790.07949247691,1440,2165.77758789062,725.777587890625
5863961.3,5.9,"H0447",1908.74412940949,1882,1987,105
89634837.3,89.6,"H0448",2100.46554297819,1242,3032,1790
5026252.6,5,"H0449",2080.13823882556,1928,2261,333
6701670.1,6.7,"H0450",2298.26628874856,1995.43188476562,2489,493.568115234375
131520275.2,131.5,"H0451",1997.39702080767,1285.58728027344,2402,1116.41271972656
5863961.3,5.9,"H0452",2165.84603221319,2018,2299,281
28482097.8,28.5,"H0453",1892.64541966032,1315,2408,1093
25968971.5,26,"H0454",1664.71318740632,1378,1934,556
7539378.8,7.5,"H0455",1822.52490884532,1384.23864746094,2068,683.761352539062
59477321.9,59.5,"H0456",2035.75108969236,1221,2876,1655
45236273,45.2,"H0457",1791.13704002895,1379.40100097656,2097.88159179688,718.480590820312
12565631.4,12.6,"H0458",1891.05958629514,1467.328125,2244.70727539062,777.379150390625
12565631.4,12.6,"H0459",1848.39763582516,1375.13012695312,2125,749.869873046875
10052505.1,10.1,"H0460",1603.09440728667,1280.041015625,1771,490.958984375
10890213.9,10.9,"H0461",1790.94055561739,1287,2202,915
28482097.8,28.5,"H0462",2572.10231675615,1965,3049,1084
6701670.1,6.7,"H0463",2177.79616524218,1822,2548,726
14241048.9,14.2,"H0464",2411.3403468192,2190.80590820312,2656,465.194091796875
24293554,24.3,"H0465",1968.5427835247,1155,2482,1327
5863961.3,5.9,"H0466",2176.39464146205,2014.05541992188,2318,303.944580078125
8377087.6,8.4,"H0467",2593.42469612788,2196,2939,743
9214796.4,9.2,"H0468",1982.34863086802,1359,2317,958
11727922.6,11.7,"H0469",1818.49906797556,1362,2452,1090
8377087.6,8.4,"H0470",1776.41112811749,1374,2277,903
6701670.1,6.7,"H0471",2080.0403037933,1329,2679,1350
15916466.4,15.9,"H0472",2039.84196731513,1339.12536621094,2465,1125.87463378906
7539378.8,7.5,"H0473",1610.62142586086,1365,1830,465
6701670.1,6.7,"H0474",1604.06300557809,1261,1793,532
5863961.3,5.9,"H0475",1558.33152072922,1295.99096679688,1729,433.009033203125
19267301.5,19.3,"H0476",1578.51840600883,1295.90234375,1859,563.09765625
5026252.6,5,"H0477",1583.06080891927,1093,1851,758
37696894.2,37.7,"H0478",1604.03388736053,1235,1959,724
5026252.6,5,"H0479",1577.65380084325,1245,1858,613
5863961.3,5.9,"H0480",2029.13175960057,1950,2138,188
6701670.1,6.7,"H0481",1662.51299247786,1297,1909,612
41047729.2,41,"H0482",1752.24694332308,1134,2221,1087
8377087.6,8.4,"H0483",1572.6121474046,1148,1806,658
6701670.1,6.7,"H0484",1604.67472610474,1316,1813,497
7539378.8,7.5,"H0485",1610.2088212295,1121,1870,749
24293554,24.3,"H0486",1734.53760392253,1290.42626953125,2055,764.57373046875
8377087.6,8.4,"H0487",1844.79896527459,1541,2107,566
14241048.9,14.2,"H0488",1607.98212039621,1476.06274414062,1760,283.937255859375
8377087.6,8.4,"H0489",1790.14464111328,1307,1992,685
43560855.5,43.6,"H0490",1647.13592017375,656,2030,1374
27644389.1,27.6,"H0491",1869.4180570206,1454,2254,800
5026252.6,5,"H0492",1747.70595607758,1477.48107910156,1949,471.518920898438
17591883.9,17.6,"H0493",1826.34416333576,1468.05200195312,2097,628.947998046875
5863961.3,5.9,"H0494",1862.43252631293,1751.02416992188,2064,312.975830078125
5863961.3,5.9,"H0495",1572.11709168317,1192,1840,648
46073981.8,46.1,"H0496",1812.71324617023,1111.5126953125,2735,1623.4873046875
19267301.5,19.3,"H0497",1700.07352078595,1374,2082,708
149112159.2,149.1,"H0498",2843.13903708168,1474,4068,2594
6701670.1,6.7,"H0499",3551.79232339514,3222,3775.94067382812,553.940673828125
18429592.7,18.4,"H0500",1765.83011782011,1407.12609863281,2056,648.873901367188
19267301.5,19.3,"H0501",3510.62138134374,2941,3933,992
15078757.7,15.1,"H0502",1735.10333258587,1536.18981933594,1912,375.810180664062
23455845.3,23.5,"H0503",1737.51725874766,1294,2012,718
5863961.3,5.9,"H0504",1520.4419151743,1203,1692,489
8377087.6,8.4,"H0505",1747.52900015555,1417,1949,532
18429592.7,18.4,"H0506",1866.77209745589,1234.39562988281,2146,911.604370117188
35183767.9,35.2,"H0507",1767.97553394148,1329,2116,787
8377087.6,8.4,"H0508",1675.07454453432,1515,1937.69580078125,422.69580078125
5863961.3,5.9,"H0509",1607.24812081473,1056.97131347656,1838,781.028686523438
5938517395.7,5938.5,"H0510",2251.44055721846,838.758422851562,4023,3184.24157714844
20942719,20.9,"H0511",1653.09434814453,1446,1953,507
7539378.8,7.5,"H0512",1850.04244924445,1647,2220.20532226562,573.205322265625
26806680.3,26.8,"H0513",1785.98847250937,1319,2125.8818359375,806.8818359375
126494022.7,126.5,"H0514",1856.51399604246,1185,2418,1233
4170951913.3,4171,"H0515",2511.64492656538,1150,4133.16162109375,2983.16162109375
8377087.6,8.4,"H0516",1664.60911671856,1481,1780,299
5026252.6,5,"H0517",1883.40832302955,1664.20166015625,2060.62670898438,396.425048828125
5863961.3,5.9,"H0518",1561.60817482907,1295.25537109375,1834,538.74462890625
10052505.1,10.1,"H0519",1846.78261518635,1530,2089,559
7539378.8,7.5,"H0520",1599.6934016402,1314,1798,484
84608584.7,84.6,"H0521",1941.6578672077,1401,2717,1316
5863961.3,5.9,"H0522",1775.69682634142,1403.20837402344,2018,614.791625976562
5026252.6,5,"H0523",1622.37716714182,1376,1776.98657226562,400.986572265625
31832932.9,31.8,"H0524",1710.17650060502,1325.263671875,2232,906.736328125
5863961.3,5.9,"H0525",1566.87386388644,1387,1734,347
5863961.3,5.9,"H0526",1650.25198669434,1514.18872070312,1805,290.811279296875
836871050.7,836.9,"H0527",2277.17220532321,972,3786,2814
116441517.6,116.4,"H0528",1809.14379031198,1202.96826171875,2490,1287.03173828125
5863961.3,5.9,"H0529",1688.94443687713,1148,1950,802
