"crrdr_d","ID","endID","all_pa_area_sqkm","all_pa_pct_overlap","nPAs","LCP_length_km","nKBAs"
"CORR0198","Internacional La Amistad","H0366",2630.47712472953,76.0809505275921,3,17.2298507988523,2
"CORR0199","Internacional La Amistad","H0369",2585.46735729524,70.4196648697918,2,18.3005726039257,3
"CORR0200","Internacional La Amistad","H0369",6522.37370119639,57.7428179373852,2,56.6407220184835,3
"CORR0201","Barbilla","H0357",2208.94327834425,59.1526075957348,1,18.6092534475046,4
"CORR0202","Barbilla","H0359",2727.09279850103,43.8681385657018,2,31.1360336060811,4
"CORR0203","Barbilla","H0360",1935.04303747726,33.6453751196272,2,28.6529239316952,4
"CORR0204","Barbilla","H0369",2488.92188597491,38.3349550071633,3,32.4618212505614,4
"CORR0205","Barbilla","H0355",6519.80386836991,73.6322476037933,4,44.4015306529438,3
"CORR0206","Chagres","H0373",25586.7832645407,63.1927914789834,8,202.853050895081,6
"CORR0207","Chagres","H0377",36406.6178599221,72.6778393079039,8,251.262235412432,5
"CORR0208","Chagres","H0377",36406.6178599221,72.3270714427258,8,252.465089577421,5
"CORR0209","Chagres","H0372",36697.2413853952,69.5569537498717,8,264.74107646465,5
"CORR0210","Chagres","H0375",36697.2413853952,68.8642682927567,8,267.376948282462,5
"CORR0211","Cerro Hoya","H0373",12085.611961999,24.9833763369378,5,242.807039014186,4
"CORR0212","Cerro Hoya","H0377",10108.2944736337,23.7808786128596,4,213.372098081786,3
"CORR0213","Cerro Hoya","H0377",10108.2944736337,23.619007666001,4,214.843027267634,3
"CORR0214","Cerro Hoya","H0375",10108.2944736337,22.7432568268583,4,223.09184651828,3
"CORR0215","Cerro Hoya","H0372",10108.2944736337,22.3142623556437,4,227.392015488086,3
"CORR0216","Sarigua","H0373",11474.7676575135,40.1384466962932,6,143.630534329981,3
"CORR0217","Sarigua","H0377",19340.2363315341,49.8993114046782,6,194.709691897139,3
"CORR0218","Sarigua","H0377",19340.2363315341,49.5890785789581,6,195.912546062128,3
"CORR0219","Sarigua","H0372",19340.2363315341,46.2108967156676,6,210.254153493458,3
"CORR0220","Sarigua","H0375",19340.2363315341,45.874465267194,6,211.810104625774,3
"CORR0221","General de División Omar Torrijos Herrera","H0373",8198.41693523306,100,2,40.9316051086206,2
"CORR0222","General de División Omar Torrijos Herrera","H0377",16475.5575369409,87.726279252025,3,94.1338085250769,3
"CORR0223","General de División Omar Torrijos Herrera","H0377",16475.5575369409,86.6059782163796,3,95.3366626900651,3
"CORR0224","General de División Omar Torrijos Herrera","H0372",16475.5575369409,75.356749725423,3,109.602447055348,3
"CORR0225","General de División Omar Torrijos Herrera","H0375",16475.5575369409,74.3134894863563,3,111.158398187664,3
"CORR0226","Dzibilchantún","H0008",51422.3838034961,33.5512428232651,11,788.380389262985,4
"CORR0227","Dzibilchantún","H0013",50304.2828154777,32.8740305096595,10,786.787642608979,4
"CORR0228","Dzibilchantún","H0010",50304.2828154777,32.6266110486634,10,792.804607723617,4
"CORR0229","Dzibilchantún","H0011",50304.2828154777,32.4387897555857,10,797.454063359719,4
"CORR0230","Dzibilchantún","H0005",50508.618407043,31.1255795485335,9,835.475679305974,5
"CORR0231","Azul Meámbar","H0268",2151.74002976818,100,1,10.7774610601143,1
"CORR0232","Azul Meámbar","H0268",2618.77372926956,100,1,13.1636556179123,1
"CORR0233","Azul Meámbar","H0254",2736.01300173323,31.5259124409789,3,44.1740614548039,2
"CORR0234","Azul Meámbar","H0308",5047.21470185912,45.6490345319944,2,56.1976767923232,2
"CORR0235","Azul Meámbar","H0211",1333.80701476507,13.5131574852313,2,50.0734816693422,1
"CORR0236","Pico Bonito","H0125",4955.32914918795,100,1,24.9766212397735,1
"CORR0237","Pico Bonito","H0131",1873.04682786087,100,1,9.32223534541566,1
"CORR0238","Pico Bonito","H0131",2176.05453574512,100,1,10.8911956591841,1
"CORR0239","Pico Bonito","H0142",4251.98455809573,100,1,21.3967713974096,1
"CORR0240","Pico Bonito","H0142",5472.85392150986,100,1,27.63470111946,1
"CORR0241","Cerro Azul","H0216",1243.83004256274,100,1,6.20921706944996,1
"CORR0242","Cerro Azul","H0216",1662.05738953959,100,1,8.36524813941212,1
"CORR0243","Cerro Azul","H0279",2548.28593796577,19.9983893121745,2,65.0270622084362,1
"CORR0244","Cerro Azul","H0176",168.141751237027,1.22196622777724,1,70.2516954306143,2
"CORR0245","Cerro Azul","H0273",2376.02511067042,15.0228640802,2,80.8081918833159,1
"CORR0246","Cusuco","H0135",2132.38455629357,100,1,10.7238460559427,1
"CORR0247","Cusuco","H0254",6516.61985734176,33.5416179906076,3,98.8027779333587,2
"CORR0248","Cusuco","H0216",9948.54491870941,47.2920867845378,3,107.150744323259,4
