ID,endID,crrdr_d,focal_pa_area_sqkm,focal_pa_pct_overlap,nPAs,LCP_length_km,nKBAs,biomass_mean,biomass_min,biomass_max,mean_m,min_m,max_m,range_m,nCountries,Countries,name,iso_a3,are_km2,endnode_elevrange_m,StartNode_areakm2,StartNode_elevrange_m
Rancho  La Asuncion   con el Area Natural Protegida Yu Balcah,H0004,CORR1532,0,0,0,70.46076687,2,58.11209395,14.00591564,105.3798294,716.1937584,16,2082,2066,1,MEX,Mexico,MEX,86.3,999,6.006527743,14
Rancho  La Asuncion   con el Area Natural Protegida Yu Balcah,H0002,CORR1535,0,0,0,69.77185468,2,60.24183663,9.793124199,111.6694565,512.2557641,17.8417263,1835,1817.158274,1,MEX,Mexico,MEX,29.3,817,6.006527743,14
Talcualhuya,H0341,CORR2263,423.8146347,4.038476869,3,53.67553957,0,51.32023925,10.83482933,100.1921158,1009.112103,389,1909,1520,1,SLV,El Salvador,SLV,12.6,669,6.148783144,169.0117798
Talcualhuya,H0344,CORR2261,642.7593414,7.875639293,2,41.71473812,1,46.56798486,10.83482933,78.2983017,896.2664018,389,1859,1470,1,SLV,El Salvador,SLV,5,608.9749756,6.148783144,169.0117798
Talcualhuya,H0330,CORR2265,380.5497228,2.615788918,1,74.4419401,1,35.89814442,4.981387138,90.3822937,741.5052676,292,1990,1698,1,SLV,El Salvador,SLV,69.5,1332,6.148783144,169.0117798
Talcualhuya,H0323,CORR2264,380.5497228,2.870629992,1,67.81569617,1,33.20230154,4.981387138,73.81184387,755.5673505,292,1697,1405,1,SLV,El Salvador,SLV,120.6,1066,6.148783144,169.0117798
Talcualhuya,H0342,CORR2262,281.2059299,3.277706423,1,43.80795531,1,49.37871592,10.83482933,99.04550171,1000.221867,389,2315.718506,1926.718506,1,SLV,El Salvador,SLV,24.3,1018,6.148783144,169.0117798
Finca Los Tarros,H0148,CORR1184,12004.48144,21.73445465,4,284.4089671,5,71.26791886,5.608025074,123.7168655,327.4816584,110,1753,1643,2,"GTM, MEX",Guatemala,GTM,5.9,435,6.185485783,52
Finca Los Tarros,H0124,CORR1182,12004.48144,23.51311178,4,262.8919565,4,70.06889284,5.608025074,107.6529312,242.3425919,110,1881,1771,2,"GTM, MEX",Guatemala,GTM,9.2,440,6.185485783,52
Finca Los Tarros,H0145,CORR1181,7478.359106,17.31943155,5,221.2916067,3,60.03838986,9.104189873,98.08113861,433.244908,152,2463,2311,1,GTM,Guatemala,GTM,5,547,6.185485783,52
Finca Los Tarros,H0134,CORR1183,12288.26395,23.93703281,5,264.3774731,4,71.02348683,5.608025074,107.6529312,246.1262918,110,1896,1786,2,"GTM, MEX",Guatemala,GTM,39.4,616,6.185485783,52
Finca Los Tarros,H0176,CORR1185,10356.84447,23.21913135,7,228.7799633,3,66.40639758,9.104189873,126.2290726,325.6440907,3,1609,1606,1,GTM,Guatemala,GTM,5,581,6.185485783,52
