"ID","MAT_mean","MAT_min","MAT_max","MAT_range","MAP_mean","MAP_min","MAP_max","MAP_range","srtm_mean","srtm_min","srtm_max","srtm_range","ISO3","NAME","ORIG_NAME","WDPAID","WDPA_PID"
544,25.7359733581543,25.7213382720947,25.7506084442139,0.0292701721191406,3394.67395019531,3388.7998046875,3400.54809570312,11.748291015625,217.366300939544,188,236,48,"GTM","San Agustin Chahal","San Agustin Chahal",555629296,"555629296"
545,25.5603160858154,25.5603160858154,25.5603160858154,0,3440.55908203125,3440.55908203125,3440.55908203125,0,264.633757035811,220,299,79,"GTM","San Lucas Secanté","San Lucas Secanté",555629297,"555629297"
546,23.4239316773646,20.6559410095215,25.6992092132568,5.04326820373535,1864.53131755347,1737.90869140625,1972.94506835938,235.036376953125,597.998031225516,76,1227,1151,"GTM","Sierra Caral","Sierra Caral",555629298,"555629298"
547,24.3272398593032,20.338794708252,26.038553237915,5.69975852966309,2530.0782110607,2201.66357421875,2952.77490234375,751.111328125,339.633674312674,2,1245,1243,"GTM","Cerro San Gil","Cerro San Gil",12555,"12555"
548,25.7767772674561,25.7767772674561,25.7767772674561,0,3399.0546875,3399.0546875,3399.0546875,0,131.227687135035,120.71452331543,143,22.2854766845703,"GTM","Las Conchas","Las Conchas",107089,"107089"
549,19.4208877932641,16.9809017181396,21.3678855895996,4.38698387145996,1536.73633993826,1395.89379882812,1607.85388183594,211.960083007812,1437.6498464598,1020,1955,935,"GTM","Volcán de Suchitán","Volcán de Suchitán",302112,"302112"
550,23.3211123774371,18.4194850921631,25.5323314666748,7.11284637451172,2222.37184379357,2000.82495117188,2364.64404296875,363.819091796875,546.753834669298,144,1621,1477,"NIC","Cerro Saslaya","Cerro Saslaya",234,"234"
551,25.4766657352448,24.2785835266113,26.3380870819092,2.05950355529785,1470.34799003601,1373.38269042969,1565.3154296875,191.932739257812,278.796322888056,126,582,456,"NIC","Volcán Masaya","Volcán Masaya",235,"235"
552,26.2978821172343,24.3830852508545,26.7155723571777,2.33248710632324,1576.46637834821,1430.86596679688,1715.58752441406,284.721557617188,93.1000362641501,31,595,564,"NIC","Archipiélago de Zapatera","Archipiélago de Zapatera",12649,"12649"
553,22.8523086905479,20.838939666748,24.5089054107666,3.66996574401855,2300.91397094727,1966.26586914062,2762.35205078125,796.086181640625,733.404150409319,323,1291,968,"NIC","Volcán Maderas","Volcán Maderas",555698177,"555698177"
554,18.9653670928057,17.910831451416,20.4042415618896,2.49341011047363,1786.95105698529,1730.58642578125,1832.66662597656,102.080200195312,1283.5539479781,934.29833984375,1559,624.70166015625,"NIC","Cerro Datanlí – El Diablo","Cerro Datanlí – El Diablo",302131,"302131"
555,25.4305181503296,25.3792018890381,25.4827976226807,0.103595733642578,2540.84430338542,2498.07666015625,2575.00830078125,76.931640625,13.0169074786944,7,25,18,"NIC","Makantaka","Makantaka",302132,"302132"
556,24.6254128633395,20.8434734344482,25.8935546875,5.05008125305176,2294.03367357174,1808.95935058594,2693.62182617188,884.662475585938,324.412725047681,64,1182,1118,"NIC","Bosawas","Bosawas",12650,"12650"
557,20.0976744942043,17.52903175354,22.3290119171143,4.79998016357422,1976.68533900164,1824.83227539062,2112.0927734375,287.260498046875,1083.71989475448,582,1686,1104,"NIC","Macizos de Peñas Blancas","Macizos de Peñas Blancas",12654,"12654"
558,26.199503326416,25.5438575744629,26.8892574310303,1.34539985656738,1486.3815633138,1441.75695800781,1533.01635742188,91.2593994140625,193.852670407551,41,463,422,"NIC","Península de Chiltepe","Península de Chiltepe",12655,"12655"
559,20.4745944744439,15.9160938262939,22.9238796234131,7.00778579711914,1345.04540767767,1094.51843261719,1666.89343261719,572.375,1173.15449120275,671,2019.30200195312,1348.30200195312,"NIC","Serranías de Dipilto - Jalapa","Serranías de Dipilto - Jalapa",12657,"12657"
560,26.4091528007783,23.948938369751,28.1958332061768,4.24689483642578,1770.37000761836,1497,1878.36218261719,381.362182617188,277.219080488257,-6,756,762,"NIC","Volcán Cosigüina","Volcán Cosigüina",12659,"12659"
561,26.3933944597349,22.1032657623291,27.1896495819092,5.08638381958008,1509.80362106156,1313.42517089844,1615.75598144531,302.330810546875,164.936459622656,41,1226,1185,"NIC","Complejo Volcánico Momotombo - Momotombito","Complejo Volcánico Momotombo - Momotombito",12661,"12661"
562,21.7000506718953,19.5070819854736,23.2785778045654,3.7714958190918,2158.33318413628,2016.64416503906,2338.19848632812,321.554321289062,808.277339735206,393.630462646484,1382,988.369537353516,"NIC","Cerro Musún","Cerro Musún",12662,"12662"
563,24.3589561096286,22.315258026123,25.6570587158203,3.34180068969727,2579.76135518455,2409.61303710938,2704.54711914062,294.93408203125,351.030090826149,82,783,701,"NIC","Cerro Bana Cruz","Cerro Bana Cruz",12668,"12668"
564,20.2946980753253,17.8380355834961,22.5648536682129,4.7268180847168,1867.56464607485,1699.57836914062,1991.7919921875,292.213623046875,1123.76266696286,596,1674,1078,"NIC","Cerro Kilambé","Cerro Kilambé",12669,"12669"
565,20.2423024177551,19.6357612609863,21.1202812194824,1.48451995849609,1240.34039306641,1161.27600097656,1301.84069824219,140.564697265625,1187.58017190047,915,1404,489,"NIC","Cerro Tomabú","Cerro Tomabú",12670,"12670"
566,24.1503441415984,22.0728950500488,26.0364685058594,3.96357345581055,1719.92411120185,1473.90539550781,1962.92321777344,489.017822265625,482.854088323349,135,928,793,"NIC","Sierra Amerrisque","Sierra Amerrisque",12672,"12672"
567,26.8500213957669,26.6661796569824,27.0121593475342,0.345979690551758,1331.39144237139,1231.14086914062,1509.59313964844,278.452270507812,34.6806190059602,29,46,17,"NIC","Laguna de Tisma","Laguna de Tisma",12674,"12674"
568,20.6789498940492,18.6462879180908,24.3585205078125,5.71223258972168,1227.97333128839,1117.06958007812,1366.83386230469,249.764282226562,1084.79799107753,429,1529,1100,"NIC","Cerro Tisey – Estanzuela","Cerro Tisey – Estanzuela",12680,"12680"
569,22.5561042785645,22.2486248016357,23.0110569000244,0.762432098388672,1625.95148925781,1552.2197265625,1661.39562988281,109.175903320312,658.118984446806,503,752.63525390625,249.63525390625,"NIC","Salto Río Yasica","Salto Río Yasica",12681,"12681"
570,21.6996092796326,21.3017673492432,22.2259140014648,0.92414665222168,1748.93156433105,1701.70629882812,1832.365234375,130.658935546875,1005.78482271184,728.311950683594,1257,528.688049316406,"NIC","Volcán Mombacho","Volcán Mombacho",12683,"12683"
571,25.8992086557242,24.4634742736816,26.5734481811523,2.1099739074707,1423.20504760742,1376.33605957031,1475.38989257812,99.0538330078125,184.721946717778,73,572.684265136719,499.684265136719,"NIC","Laguna de Apoyo","Laguna de Apoyo",34671,"34671"
572,24.8366954186383,20.3118190765381,26.461576461792,6.14975738525391,1832.47074082318,1581.97045898438,2306.24291992188,724.2724609375,393.803205784681,31,1576,1545,"NIC","Volcán Concepción","Volcán Concepción",34682,"34682"
573,21.6687221644837,20.4793434143066,23.8711433410645,3.39179992675781,1791.38090533975,1573.10949707031,1958.38989257812,385.280395507812,888.682171225954,451,1183,732,"NIC","Cerro Cumaica – Cerro Alegre","Cerro Cumaica – Cerro Alegre",34685,"34685"
574,21.9169085768403,19.9153842926025,23.8413677215576,3.92598342895508,2005.46387319096,1841.99133300781,2119.52709960938,277.535766601562,771.098025445459,344,1243,899,"NIC","Cerro Kuskawas","Cerro Kuskawas",34687,"34687"
575,25.8692423078749,25.7907943725586,25.9261016845703,0.135307312011719,2501.7874077691,2426.92504882812,2581.83715820312,154.912109375,22.8253962354901,13,38.1966400146484,25.1966400146484,"NIC","Cerro Alamikamba","Cerro Alamikamba",34691,"34691"
576,23.9569496427264,18.2184600830078,26.0163516998291,7.79789161682129,1639.35258730934,1424.51977539062,1801.26916503906,376.749389648438,587.650117357809,253.016021728516,1687,1433.98397827148,"NIC","Complejo Volcánico San Cristóbal – Casitas- Chonco","Complejo Volcánico San Cristóbal – Casitas- Chonco",61042,"61042"
577,24.8975767294566,22.8610820770264,26.4997615814209,3.63867950439453,1581.19041442871,1474.35095214844,1678.92016601562,204.569213867188,467.73962564921,149.137390136719,963,813.862609863281,"NIC","Complejo Volcánico Telica – Rota","Complejo Volcánico Telica – Rota",61043,"61043"
578,25.5186121686757,22.3877754211426,27.1782684326172,4.79049301147461,1453.80018143688,1361.1962890625,1569.94921875,208.7529296875,369.961481852697,92,1022,930,"NIC","Complejo Volcánico Pilas – El Hoyo","Complejo Volcánico Pilas – El Hoyo",61044,"61044"
579,26.8605620066325,26.8032035827637,26.9290771484375,0.125873565673828,1732.12674967448,1705.95788574219,1773.599609375,67.6417236328125,89.4436798095703,83,100,17,"NIC","Laguna de Tiscapa","Laguna de Tiscapa",61045,"61045"
580,26.7815265655518,26.7815265655518,26.7815265655518,0,1383.10363769531,1383.10363769531,1383.10363769531,0,92.0893008931478,57,174,117,"NIC","Laguna de Asososca","Laguna de Asososca",61046,"61046"
581,26.4144236246745,26.2870693206787,26.6023559570312,0.315286636352539,1379.22473144531,1370.29309082031,1386.2509765625,15.9578857421875,122.408258045819,59,231,172,"NIC","Laguna de Nejapa","Laguna de Nejapa",61047,"61047"
582,19.7960873645285,17.692024230957,22.4035396575928,4.71151542663574,1281.82097380265,1111.75415039062,1458.53601074219,346.781860351562,1220.23236302801,615,1680,1065,"NIC","Tepesomoto – Pataste","Tepesomoto – Pataste",61049,"61049"
583,21.0179447752706,18.4124050140381,24.057445526123,5.64504051208496,1189.17580593838,1086.111328125,1397.47045898438,311.359130859375,986.047183590078,471,1531,1060,"NIC","Cerro Quiabuc – Las Brisas","Cerro Quiabuc – Las Brisas",61050,"61050"
584,18.9708314669334,17.6506385803223,20.6361103057861,2.98547172546387,1558.41106867386,1323.76550292969,1735.01501464844,411.24951171875,1328.92526314508,1026,1646,620,"NIC","Cerros de Yalí","Cerros de Yalí",61053,"61053"
585,18.5511640247546,17.9397296905518,19.5904121398926,1.65068244934082,1722.44679661801,1638.41589355469,1776.24291992188,137.827026367188,1368.61921970594,1066.32470703125,1541,474.67529296875,"NIC","Cerro El Arenal","Cerro El Arenal",61054,"61054"
586,20.0170646104656,18.3982696533203,22.9958076477051,4.59753799438477,1775.3537057345,1588.08666992188,1847.9306640625,259.843994140625,1096.08329782474,515,1415,900,"NIC","Fila Cerro Frío – La Cumplida","Fila Cerro Frío – La Cumplida",61055,"61055"
